gw,club,opp,home_away,fdr,fixture_congestion,blank,double
29,BOU,BRE,H,3,1,N,N
29,BRE,BOU,A,3,1,N,N
29,EVE,BUR,H,1,1,N,N
29,BUR,EVE,A,3,1,N,N
29,LEE,SUN,H,2,1,N,N
29,SUN,LEE,A,3,1,N,N
29,WOL,LIV,H,3,1,N,N
29,LIV,WOL,A,2,1,N,N
29,AVL,CHE,H,3,1,N,N
29,CHE,AVL,A,4,1,N,N
29,BHA,ARS,H,4,1,N,N
29,ARS,BHA,A,3,1,N,N
29,FUL,WHU,H,2,1,N,N
29,WHU,FUL,A,3,1,N,N
29,MCI,NFO,H,2,1,N,N
29,NFO,MCI,A,5,1,N,N
29,NEW,MUN,H,3,1,N,N
29,MUN,NEW,A,4,1,N,N
29,TOT,CRY,H,3,1,N,N
29,CRY,TOT,A,3,1,N,N
30,BUR,BOU,H,3,1,N,N
30,BOU,BUR,A,2,1,N,N
30,SUN,BHA,H,3,1,N,N
30,BHA,SUN,A,4,1,N,N
30,ARS,EVE,H,3,1,N,N
30,EVE,ARS,A,5,1,N,N
30,CHE,NEW,H,3,1,N,N
30,NEW,CHE,A,4,1,N,N
30,WHU,MCI,H,4,1,N,N
30,MCI,WHU,A,2,1,N,N
30,CRY,LEE,H,2,1,N,N
30,LEE,CRY,A,3,1,N,N
30,MUN,AVL,H,3,1,N,N
30,AVL,MUN,A,4,1,N,N
30,NFO,FUL,H,2,1,N,N
30,FUL,NFO,A,3,1,N,N
30,LIV,TOT,H,3,1,N,N
30,TOT,LIV,A,4,1,N,N
30,BRE,WOL,H,2,1,N,N
30,WOL,BRE,A,4,1,N,N
31,BOU,MUN,H,3,1,N,N
31,MUN,BOU,A,3,1,N,N
31,BHA,LIV,H,3,1,N,N
31,LIV,BHA,A,3,1,N,N
31,FUL,BUR,H,1,1,N,N
31,BUR,FUL,A,3,1,N,N
31,EVE,CHE,H,3,1,N,N
31,CHE,EVE,A,3,1,N,N
31,LEE,BRE,H,3,1,N,N
31,BRE,LEE,A,3,1,N,N
31,NEW,SUN,H,2,1,N,N
31,SUN,NEW,A,4,1,N,N
31,AVL,WHU,H,2,1,N,N
31,WHU,AVL,A,4,1,N,N
31,TOT,NFO,H,2,1,N,N
31,NFO,TOT,A,3,1,N,N
32,ARS,BOU,H,3,1,N,N
32,BOU,ARS,A,5,1,N,N
32,BRE,EVE,H,3,1,N,N
32,EVE,BRE,A,4,1,N,N
32,BUR,BHA,H,3,1,N,N
32,BHA,BUR,A,2,1,N,N
32,CHE,MCI,H,4,1,N,N
32,MCI,CHE,A,4,1,N,N
32,CRY,NEW,H,3,1,N,N
32,NEW,CRY,A,3,1,N,N
32,LIV,FUL,H,2,1,N,N
32,FUL,LIV,A,4,1,N,N
32,MUN,LEE,H,2,1,N,N
32,LEE,MUN,A,4,1,N,N
32,NFO,AVL,H,3,1,N,N
32,AVL,NFO,A,3,1,N,N
32,SUN,TOT,H,3,1,N,N
32,TOT,SUN,A,4,1,N,N
32,WHU,WOL,H,2,1,N,N
32,WOL,WHU,A,2,1,N,N
33,AVL,SUN,H,2,1,N,N
33,SUN,AVL,A,4,1,N,N
33,BRE,FUL,H,2,1,N,N
33,FUL,BRE,A,4,1,N,N
33,CHE,MUN,H,3,1,N,N
33,MUN,CHE,A,4,1,N,N
33,CRY,WHU,H,2,1,N,N
33,WHU,CRY,A,3,1,N,N
33,EVE,LIV,H,3,1,N,N
33,LIV,EVE,A,3,1,N,N
33,LEE,WOL,H,2,1,N,N
33,WOL,LEE,A,3,1,N,N
33,MCI,ARS,H,4,1,N,N
33,ARS,MCI,A,5,1,N,N
33,NEW,BOU,H,3,1,N,N
33,BOU,NEW,A,4,1,N,N
33,NFO,BUR,H,1,1,N,N
33,BUR,NFO,A,3,1,N,N
33,TOT,BHA,H,3,1,N,N
33,BHA,TOT,A,3,1,N,N
