gw,club,opp,home_away,fdr,fixture_congestion,blank,double
8,NFO,CHE,H,3,1,N,N
8,CHE,NFO,A,3,1,N,N
8,BHA,NEW,H,3,1,N,N
8,NEW,BHA,A,3,1,N,N
8,BUR,LEE,H,2,1,N,N
8,LEE,BUR,A,2,1,N,N
8,CRY,BOU,H,3,1,N,N
8,BOU,CRY,A,3,1,N,N
8,MCI,EVE,H,2,1,N,N
8,EVE,MCI,A,4,1,N,N
8,SUN,WOL,H,2,1,N,N
8,WOL,SUN,A,2,1,N,N
8,FUL,ARS,H,4,1,N,N
8,ARS,FUL,A,3,1,N,N
8,TOT,AVL,H,3,1,N,N
8,AVL,TOT,A,3,1,N,N
8,LIV,MUN,H,3,1,N,N
8,MUN,LIV,A,5,1,N,N
8,WHU,BRE,H,3,1,N,N
8,BRE,WHU,A,2,1,N,N
9,LEE,WHU,H,2,1,N,N
9,WHU,LEE,A,2,1,N,N
9,CHE,SUN,H,2,1,N,N
9,SUN,CHE,A,4,1,N,N
9,NEW,FUL,H,3,1,N,N
9,FUL,NEW,A,4,1,N,N
9,MUN,BHA,H,3,1,N,N
9,BHA,MUN,A,3,1,N,N
9,BRE,LIV,H,4,1,N,N
9,LIV,BRE,A,3,1,N,N
9,ARS,CRY,H,3,1,N,N
9,CRY,ARS,A,4,1,N,N
9,AVL,MCI,H,4,1,N,N
9,MCI,AVL,A,4,1,N,N
9,BOU,NFO,H,3,1,N,N
9,NFO,BOU,A,3,1,N,N
9,WOL,BUR,H,2,1,N,N
9,BUR,WOL,A,3,1,N,N
9,EVE,TOT,H,3,1,N,N
9,TOT,EVE,A,3,1,N,N
10,BHA,LEE,H,2,1,N,N
10,LEE,BHA,A,3,1,N,N
10,BUR,ARS,H,4,1,N,N
10,ARS,BUR,A,2,1,N,N
10,CRY,BRE,H,3,1,N,N
10,BRE,CRY,A,3,1,N,N
10,FUL,WOL,H,2,1,N,N
10,WOL,FUL,A,3,1,N,N
10,NFO,MUN,H,3,1,N,N
10,MUN,NFO,A,3,1,N,N
10,TOT,CHE,H,3,1,N,N
10,CHE,TOT,A,3,1,N,N
10,LIV,AVL,H,3,1,N,N
10,AVL,LIV,A,5,1,N,N
10,WHU,NEW,H,3,1,N,N
10,NEW,WHU,A,2,1,N,N
10,MCI,BOU,H,3,1,N,N
10,BOU,MCI,A,4,1,N,N
10,SUN,EVE,H,2,1,N,N
10,EVE,SUN,A,2,1,N,N
11,TOT,MUN,H,3,1,N,N
11,MUN,TOT,A,3,1,N,N
11,EVE,FUL,H,3,1,N,N
11,FUL,EVE,A,3,1,N,N
11,WHU,BUR,H,2,1,N,N
11,BUR,WHU,A,2,1,N,N
11,SUN,ARS,H,4,1,N,N
11,ARS,SUN,A,2,1,N,N
11,CHE,WOL,H,2,1,N,N
11,WOL,CHE,A,4,1,N,N
11,AVL,BOU,H,3,1,N,N
11,BOU,AVL,A,4,1,N,N
11,BRE,NEW,H,3,1,N,N
11,NEW,BRE,A,3,1,N,N
11,CRY,BHA,H,3,1,N,N
11,BHA,CRY,A,3,1,N,N
11,NFO,LEE,H,2,1,N,N
11,LEE,NFO,A,3,1,N,N
11,MCI,LIV,H,4,1,N,N
11,LIV,MCI,A,4,1,N,N
12,BUR,CHE,H,3,1,N,N
12,CHE,BUR,A,2,1,N,N
12,BOU,WHU,H,2,1,N,N
12,WHU,BOU,A,3,1,N,N
12,BHA,BRE,H,3,1,N,N
12,BRE,BHA,A,3,1,N,N
12,FUL,SUN,H,2,1,N,N
12,SUN,FUL,A,3,1,N,N
12,LIV,NFO,H,3,1,N,N
12,NFO,LIV,A,5,1,N,N
12,WOL,CRY,H,3,1,N,N
12,CRY,WOL,A,3,1,N,N
12,NEW,MCI,H,4,1,N,N
12,MCI,NEW,A,4,1,N,N
12,LEE,AVL,H,3,1,N,N
12,AVL,LEE,A,2,1,N,N
12,ARS,TOT,H,3,1,N,N
12,TOT,ARS,A,4,1,N,N
12,MUN,EVE,H,2,1,N,N
12,EVE,MUN,A,3,1,N,N
