gw,club,opp,home_away,fdr,fixture_congestion,blank,double
21,WHU,NFO,H,2,1,N,N
21,NFO,WHU,A,2,1,N,N
21,BOU,TOT,H,3,1,N,N
21,TOT,BOU,A,4,1,N,N
21,BRE,SUN,H,2,1,N,N
21,SUN,BRE,A,3,1,N,N
21,CRY,AVL,H,3,1,N,N
21,AVL,CRY,A,3,1,N,N
21,EVE,WOL,H,2,1,N,N
21,WOL,EVE,A,3,1,N,N
21,FUL,CHE,H,3,1,N,N
21,CHE,FUL,A,3,1,N,N
21,MCI,BHA,H,3,1,N,N
21,BHA,MCI,A,4,1,N,N
21,BUR,MUN,H,3,1,N,N
21,MUN,BUR,A,2,1,N,N
21,NEW,LEE,H,2,1,N,N
21,LEE,NEW,A,4,1,N,N
21,ARS,LIV,H,4,1,N,N
21,LIV,ARS,A,5,1,N,N
22,MUN,MCI,H,4,1,N,N
22,MCI,MUN,A,3,1,N,N
22,CHE,BRE,H,3,1,N,N
22,BRE,CHE,A,3,1,N,N
22,LEE,FUL,H,2,1,N,N
22,FUL,LEE,A,3,1,N,N
22,LIV,BUR,H,2,1,N,N
22,BUR,LIV,A,4,1,N,N
22,TOT,WHU,H,2,1,N,N
22,WHU,TOT,A,3,1,N,N
22,SUN,CRY,H,3,1,N,N
22,CRY,SUN,A,3,1,N,N
22,NFO,ARS,H,4,1,N,N
22,ARS,NFO,A,3,1,N,N
22,WOL,NEW,H,3,1,N,N
22,NEW,WOL,A,2,1,N,N
22,AVL,EVE,H,2,1,N,N
22,EVE,AVL,A,3,1,N,N
22,BHA,BOU,H,3,1,N,N
22,BOU,BHA,A,3,1,N,N
23,WHU,SUN,H,2,1,N,N
23,SUN,WHU,A,2,1,N,N
23,BUR,TOT,H,3,1,N,N
23,TOT,BUR,A,2,1,N,N
23,FUL,BHA,H,3,1,N,N
23,BHA,FUL,A,3,1,N,N
23,MCI,WOL,H,2,1,N,N
23,WOL,MCI,A,4,1,N,N
23,BOU,LIV,H,4,1,N,N
23,LIV,BOU,A,4,1,N,N
23,BRE,NFO,H,2,1,N,N
23,NFO,BRE,A,3,1,N,N
23,CRY,CHE,H,3,1,N,N
23,CHE,CRY,A,3,1,N,N
23,NEW,AVL,H,3,1,N,N
23,AVL,NEW,A,4,1,N,N
23,ARS,MUN,H,3,1,N,N
23,MUN,ARS,A,5,1,N,N
23,EVE,LEE,H,2,1,N,N
23,LEE,EVE,A,3,1,N,N
24,BHA,EVE,H,2,1,N,N
24,EVE,BHA,A,3,1,N,N
24,LEE,ARS,H,4,1,N,N
24,ARS,LEE,A,3,1,N,N
24,WOL,BOU,H,3,1,N,N
24,BOU,WOL,A,2,1,N,N
24,CHE,WHU,H,2,1,N,N
24,WHU,CHE,A,3,1,N,N
24,LIV,NEW,H,3,1,N,N
24,NEW,LIV,A,4,1,N,N
24,AVL,BRE,H,3,1,N,N
24,BRE,AVL,A,3,1,N,N
24,MUN,FUL,H,2,1,N,N
24,FUL,MUN,A,3,1,N,N
24,NFO,CRY,H,3,1,N,N
24,CRY,NFO,A,3,1,N,N
24,TOT,MCI,H,4,1,N,N
24,MCI,TOT,A,3,1,N,N
24,SUN,BUR,H,2,1,N,N
24,BUR,SUN,A,3,1,N,N
25,LEE,NFO,H,2,1,N,N
25,NFO,LEE,A,3,1,N,N
25,MUN,TOT,H,3,1,N,N
25,TOT,MUN,A,3,1,N,N
25,ARS,SUN,H,2,1,N,N
25,SUN,ARS,A,5,1,N,N
25,BOU,AVL,H,3,1,N,N
25,AVL,BOU,A,4,1,N,N
25,BUR,WHU,H,2,1,N,N
25,WHU,BUR,A,2,1,N,N
25,FUL,EVE,H,2,1,N,N
25,EVE,FUL,A,3,1,N,N
25,WOL,CHE,H,3,1,N,N
25,CHE,WOL,A,2,1,N,N
25,NEW,BRE,H,3,1,N,N
25,BRE,NEW,A,4,1,N,N
25,BHA,CRY,H,3,1,N,N
25,CRY,BHA,A,3,1,N,N
25,LIV,MCI,H,4,1,N,N
25,MCI,LIV,A,4,1,N,N
