gw,club,opp,home_away,fdr,fixture_congestion,blank,double
10,BHA,LEE,H,2,1,N,N
10,LEE,BHA,A,3,1,N,N
10,BUR,ARS,H,4,1,N,N
10,ARS,BUR,A,2,1,N,N
10,CRY,BRE,H,3,1,N,N
10,BRE,CRY,A,3,1,N,N
10,FUL,WOL,H,2,1,N,N
10,WOL,FUL,A,3,1,N,N
10,NFO,MUN,H,3,1,N,N
10,MUN,NFO,A,3,1,N,N
10,TOT,CHE,H,3,1,N,N
10,CHE,TOT,A,3,1,N,N
10,LIV,AVL,H,3,1,N,N
10,AVL,LIV,A,4,1,N,N
10,WHU,NEW,H,3,1,N,N
10,NEW,WHU,A,2,1,N,N
10,MCI,BOU,H,3,1,N,N
10,BOU,MCI,A,4,1,N,N
10,SUN,EVE,H,2,1,N,N
10,EVE,SUN,A,3,1,N,N
11,TOT,MUN,H,3,1,N,N
11,MUN,TOT,A,3,1,N,N
11,EVE,FUL,H,2,1,N,N
11,FUL,EVE,A,3,1,N,N
11,WHU,BUR,H,2,1,N,N
11,BUR,WHU,A,2,1,N,N
11,SUN,ARS,H,4,1,N,N
11,ARS,SUN,A,3,1,N,N
11,CHE,WOL,H,2,1,N,N
11,WOL,CHE,A,3,1,N,N
11,AVL,BOU,H,3,1,N,N
11,BOU,AVL,A,3,1,N,N
11,BRE,NEW,H,3,1,N,N
11,NEW,BRE,A,3,1,N,N
11,CRY,BHA,H,3,1,N,N
11,BHA,CRY,A,3,1,N,N
11,NFO,LEE,H,2,1,N,N
11,LEE,NFO,A,3,1,N,N
11,MCI,LIV,H,4,1,N,N
11,LIV,MCI,A,4,1,N,N
12,BUR,CHE,H,3,1,N,N
12,CHE,BUR,A,2,1,N,N
12,BOU,WHU,H,2,1,N,N
12,WHU,BOU,A,4,1,N,N
12,BHA,BRE,H,3,1,N,N
12,BRE,BHA,A,3,1,N,N
12,FUL,SUN,H,2,1,N,N
12,SUN,FUL,A,3,1,N,N
12,LIV,NFO,H,2,1,N,N
12,NFO,LIV,A,4,1,N,N
12,WOL,CRY,H,3,1,N,N
12,CRY,WOL,A,2,1,N,N
12,NEW,MCI,H,4,1,N,N
12,MCI,NEW,A,4,1,N,N
12,LEE,AVL,H,3,1,N,N
12,AVL,LEE,A,3,1,N,N
12,ARS,TOT,H,3,1,N,N
12,TOT,ARS,A,5,1,N,N
12,MUN,EVE,H,2,1,N,N
12,EVE,MUN,A,3,1,N,N
13,BRE,BUR,H,2,1,N,N
13,BUR,BRE,A,3,1,N,N
13,MCI,LEE,H,2,1,N,N
13,LEE,MCI,A,4,1,N,N
13,SUN,BOU,H,3,1,N,N
13,BOU,SUN,A,3,1,N,N
13,EVE,NEW,H,3,1,N,N
13,NEW,EVE,A,3,1,N,N
13,TOT,FUL,H,2,1,N,N
13,FUL,TOT,A,3,1,N,N
13,CRY,MUN,H,3,1,N,N
13,MUN,CRY,A,3,1,N,N
13,AVL,WOL,H,2,1,N,N
13,WOL,AVL,A,3,1,N,N
13,NFO,BHA,H,3,1,N,N
13,BHA,NFO,A,3,1,N,N
13,WHU,LIV,H,4,1,N,N
13,LIV,WHU,A,2,1,N,N
13,CHE,ARS,H,4,1,N,N
13,ARS,CHE,A,3,1,N,N
14,BOU,EVE,H,2,1,N,N
14,EVE,BOU,A,4,1,N,N
14,FUL,MCI,H,4,1,N,N
14,MCI,FUL,A,3,1,N,N
14,NEW,TOT,H,3,1,N,N
14,TOT,NEW,A,4,1,N,N
14,ARS,BRE,H,3,1,N,N
14,BRE,ARS,A,5,1,N,N
14,BHA,AVL,H,3,1,N,N
14,AVL,BHA,A,3,1,N,N
14,BUR,CRY,H,3,1,N,N
14,CRY,BUR,A,2,1,N,N
14,WOL,NFO,H,2,1,N,N
14,NFO,WOL,A,2,1,N,N
14,LEE,CHE,H,3,1,N,N
14,CHE,LEE,A,3,1,N,N
14,LIV,SUN,H,2,1,N,N
14,SUN,LIV,A,4,1,N,N
14,MUN,WHU,H,2,1,N,N
14,WHU,MUN,A,3,1,N,N
